агрессия	<div style="font-size:1.5em; margin-bottom: 0.5em;">агрессия</div>, -и <i>ж</i> <b><span style="color:#569cd6;font-weight:bold;">អំពើឈ្លានពាន</span></b>; совершать агрессию <b><span style="color:#4ec9b0;font-weight:bold;">ប្រព្រឹត្ត</span><span style="color:#c586c0;font-weight:bold;">អំពើឈ្លានពាន</span></b>
агроном	<div style="font-size:1.5em; margin-bottom: 0.5em;">агроном</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">ក្សេត្រវិទូ</span>, <span style="color:#4ec9b0;font-weight:bold;">វិស្វករ</span><span style="color:#c586c0;font-weight:bold;">កសិកម្ម</span></b>
адрес	<div style="font-size:1.5em; margin-bottom: 0.5em;">адрес</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">អាសយដ្ឋាន</span></b>; почтовый адрес <b><span style="color:#4ec9b0;font-weight:bold;">អាសយដ្ឋាន</span> <span style="color:#c586c0;font-weight:bold;">ប៉ុស្តិ៍</span></b>; адрес учреждения <b> <span style="color:#dcdcaa;font-weight:bold;">អាសយដ្ឋាន</span> <span style="color:#ce9178;font-weight:bold;">ក្រសួង</span></b>; давать кому-л. адрес <b><span style="color:#569cd6;font-weight:bold;">អោយ</span> <span style="color:#4ec9b0;font-weight:bold;">អាសយដ្ឋាន</span> <span style="color:#c586c0;font-weight:bold;">របស់</span><span style="color:#dcdcaa;font-weight:bold;">ខ្លួន</span></b>; послать письмо по старому адресу <b><span style="color:#ce9178;font-weight:bold;">ផ្ញើសំបុត្រ</span><span style="color:#569cd6;font-weight:bold;">តាម</span> <span style="color:#4ec9b0;font-weight:bold;">អាសយដ្ឋាន</span> <span style="color:#c586c0;font-weight:bold;">មុន</span></b>; мой домашний адрес: Москва, ул. Горького, дом 15, кв. 20 <b> <span style="color:#dcdcaa;font-weight:bold;">អាសយដ្ឋាន</span> <span style="color:#ce9178;font-weight:bold;">ផ្ទះ</span> <span style="color:#569cd6;font-weight:bold;">របស់ខ្ញុំ</span> <span style="color:#4ec9b0;font-weight:bold;">គឺ</span><span style="color:#c586c0;font-weight:bold;">៖</span> <span style="color:#dcdcaa;font-weight:bold;">ម៉ូស្គូ</span>, <span style="color:#ce9178;font-weight:bold;">វិថី</span> <span style="color:#569cd6;font-weight:bold;">ហ្គ័រគី</span>, <span style="color:#4ec9b0;font-weight:bold;">ផ្ទះលេខ</span> <span style="color:#c586c0;font-weight:bold;">១៥</span>, <span style="color:#dcdcaa;font-weight:bold;">បន្ទប់</span> <span style="color:#ce9178;font-weight:bold;">លេខ</span> <span style="color:#569cd6;font-weight:bold;">២០</span></b>
академия	<div style="font-size:1.5em; margin-bottom: 0.5em;">академия</div>, -и <i>ж</i> 1. <b><span style="color:#569cd6;font-weight:bold;">បណ្ឌិតសភា</span> <span style="color:#4ec9b0;font-weight:bold;">វិទ្យាសាស្ត្រ</span></b>; Академия наук СССР <b><span style="color:#c586c0;font-weight:bold;">បណ្ឌិតសភា</span> <span style="color:#dcdcaa;font-weight:bold;">វិទ្យាសាស្ត្រ</span> <span style="color:#ce9178;font-weight:bold;">សហភាពសូវៀត</span></b> 2. <i>(учебное заведение)</i> <b><span style="color:#569cd6;font-weight:bold;">បណ្ឌិតសភា</span> (<span style="color:#4ec9b0;font-weight:bold;">វិទ្យាស្ថាន</span>)</b>; военная академия <b><span style="color:#c586c0;font-weight:bold;">បណ្ឌិតសភាយោធា</span> (<span style="color:#dcdcaa;font-weight:bold;">វិទ្យាស្ថាន</span><span style="color:#ce9178;font-weight:bold;">យោធា</span>)</b>
аккуратный	<div style="font-size:1.5em; margin-bottom: 0.5em;">аккуратный</div>, -ая, -ое, -ые; аккурат|ен, -на, -но, -ны <b><span style="color:#569cd6;font-weight:bold;">ទៀងទាត់</span>, <span style="color:#4ec9b0;font-weight:bold;">ម៉ត់ចត់</span>, <span style="color:#c586c0;font-weight:bold;">មានសណ្ដាប់ធ្នាប់</span></b>; аккуратный человек <b><span style="color:#dcdcaa;font-weight:bold;">មនុស្ស</span> <span style="color:#ce9178;font-weight:bold;">ទៀងទាត់</span></b>; он очень аккуратен <b><span style="color:#569cd6;font-weight:bold;">គាត់</span> <span style="color:#4ec9b0;font-weight:bold;">ជា</span> <span style="color:#c586c0;font-weight:bold;">មនុស្ស</span> <span style="color:#dcdcaa;font-weight:bold;">មាន</span> <span style="color:#ce9178;font-weight:bold;">សណ្ដាប់ធ្នាប់</span> <span style="color:#569cd6;font-weight:bold;">ណាស់</span></b>
акт	<div style="font-size:1.5em; margin-bottom: 0.5em;">акт</div>, акта <i>м</i> 1. <b><span style="color:#569cd6;font-weight:bold;">អំពើ</span></b>; террористический акт <b><span style="color:#4ec9b0;font-weight:bold;">អំពើ</span> <span style="color:#c586c0;font-weight:bold;">ភេរវៈ</span> <span style="color:#dcdcaa;font-weight:bold;">កម្ម</span></b> 2. <i>(документ)</i> <b><span style="color:#ce9178;font-weight:bold;">ឯកសារ</span></b>; составить акт <b><span style="color:#569cd6;font-weight:bold;">រៀបចំ</span><span style="color:#4ec9b0;font-weight:bold;">ធ្វើ</span><span style="color:#c586c0;font-weight:bold;">ឯកសារ</span></b> 3. <i>театр.</i> <b><span style="color:#dcdcaa;font-weight:bold;">ឈុត</span><span style="color:#ce9178;font-weight:bold;">ល្ខោន</span></b>; пьеса в трёх актах <b><span style="color:#569cd6;font-weight:bold;">រឿងល្ខោន</span> <span style="color:#4ec9b0;font-weight:bold;">មាន</span> <span style="color:#c586c0;font-weight:bold;">បី</span> <span style="color:#dcdcaa;font-weight:bold;">ឈុត</span></b>
актёр	<div style="font-size:1.5em; margin-bottom: 0.5em;">актёр</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">អ្នក</span><span style="color:#4ec9b0;font-weight:bold;">ដើរតួ</span>, <span style="color:#c586c0;font-weight:bold;">នាដករ</span>, <span style="color:#dcdcaa;font-weight:bold;">សិល្បករ</span></b>; драматический актёр <b><span style="color:#ce9178;font-weight:bold;">សិល្បករ</span><span style="color:#569cd6;font-weight:bold;">ល្ខោន</span></b>
активный	<div style="font-size:1.5em; margin-bottom: 0.5em;">активный</div>, -ая, -ое, -ые; актив|ен, -на, -но, -ны <b><span style="color:#569cd6;font-weight:bold;">សកម្ម</span></b>; активный борец за мир <b><span style="color:#4ec9b0;font-weight:bold;">យុទ្ធជន</span><span style="color:#c586c0;font-weight:bold;">ដ៏</span><span style="color:#dcdcaa;font-weight:bold;">សកម្ម</span><span style="color:#ce9178;font-weight:bold;">ដើម្បី</span><span style="color:#569cd6;font-weight:bold;">សន្តិភាព</span></b>; принимать активное участие в чём-л. <b><span style="color:#4ec9b0;font-weight:bold;">ចូលរួម</span><span style="color:#c586c0;font-weight:bold;">យ៉ាងសកម្ម</span></b>
алфавит	<div style="font-size:1.5em; margin-bottom: 0.5em;">алфавит</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">អក្ខរវិធី</span>, <span style="color:#4ec9b0;font-weight:bold;">អក្សរ</span></b>; русский алфавит <b><span style="color:#c586c0;font-weight:bold;">អក្ខរវិធី</span><span style="color:#dcdcaa;font-weight:bold;">នៃ</span><span style="color:#ce9178;font-weight:bold;">ភាសា</span> <span style="color:#569cd6;font-weight:bold;">រុស្ស៊ី</span></b>; написать фамилии по алфавиту <b><span style="color:#4ec9b0;font-weight:bold;">សរសេរ</span><span style="color:#c586c0;font-weight:bold;">នាមត្រកូល</span><span style="color:#dcdcaa;font-weight:bold;">តាមលំដាប់</span><span style="color:#ce9178;font-weight:bold;">អក្សរ</span></b>
анализ	<div style="font-size:1.5em; margin-bottom: 0.5em;">анализ</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">វិភាគ</span>, <span style="color:#4ec9b0;font-weight:bold;">ការពិនិត្យ</span></b>; сделать анализ крови <b><span style="color:#c586c0;font-weight:bold;">ធ្វើការ</span> <span style="color:#dcdcaa;font-weight:bold;">ពិនិត្យ</span> <span style="color:#ce9178;font-weight:bold;">ឈាម</span></b>
аплодисменты	<div style="font-size:1.5em; margin-bottom: 0.5em;">аплодисменты</div>, -ов <i>мн.</i> <b><span style="color:#569cd6;font-weight:bold;">ស្នូរ</span><span style="color:#4ec9b0;font-weight:bold;">ទះដៃ</span><span style="color:#c586c0;font-weight:bold;">អបអរសាទរ</span></b>; продолжительные аплодисменты <b><span style="color:#dcdcaa;font-weight:bold;">ស្នូរ</span><span style="color:#ce9178;font-weight:bold;">ទះដៃ</span><span style="color:#569cd6;font-weight:bold;">អបអរសាទរ</span><span style="color:#4ec9b0;font-weight:bold;">យ៉ាង</span><span style="color:#c586c0;font-weight:bold;">យូរ</span></b>
аппарат	<div style="font-size:1.5em; margin-bottom: 0.5em;">аппарат</div>, -а <i>м</i> 1. <b><span style="color:#569cd6;font-weight:bold;">ប្រដាប់</span>, <span style="color:#4ec9b0;font-weight:bold;">ម៉ាស៊ីន</span></b>; телефонный аппарат <b><span style="color:#c586c0;font-weight:bold;">គ្រឿង</span> <span style="color:#dcdcaa;font-weight:bold;">ប្រដាប់</span> <span style="color:#ce9178;font-weight:bold;">តេលេហ្វូន</span> <span style="color:#569cd6;font-weight:bold;">ទូរស័ព្ទ</span></b> 2. <b><span style="color:#4ec9b0;font-weight:bold;">ស្ថាប័ន</span>, <span style="color:#c586c0;font-weight:bold;">អង្គការ</span><span style="color:#dcdcaa;font-weight:bold;">គ្រប់គ្រង</span></b>; государственный аппарат <b><span style="color:#ce9178;font-weight:bold;">ស្ថាប័នរដ្ឋ</span>, <span style="color:#569cd6;font-weight:bold;">ក្បាលម៉ាស៊ីន</span><span style="color:#4ec9b0;font-weight:bold;">រដ្ឋ</span></b>
аппетит	<div style="font-size:1.5em; margin-bottom: 0.5em;">аппетит</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">សេចក្ដី</span><span style="color:#4ec9b0;font-weight:bold;">ឃ្លាន</span></b>; есть с аппетитом <b><span style="color:#c586c0;font-weight:bold;">ហូប</span><span style="color:#dcdcaa;font-weight:bold;">ទាំង</span><span style="color:#ce9178;font-weight:bold;">ឃ្លាន</span></b>; приятного аппетита! <b><span style="color:#569cd6;font-weight:bold;">សូម</span><span style="color:#4ec9b0;font-weight:bold;">អញ្ជើញ</span><span style="color:#c586c0;font-weight:bold;">ឆ្ងាញ់</span><span style="color:#dcdcaa;font-weight:bold;">បាយ</span>!</b>
апрель	<div style="font-size:1.5em; margin-bottom: 0.5em;">апрель</div>, -я <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">ខែមេសា</span>, <span style="color:#4ec9b0;font-weight:bold;">មេសា</span></b>; В.И. Ленин родился 22-го апреля <b><span style="color:#c586c0;font-weight:bold;">វ</span>.<span style="color:#dcdcaa;font-weight:bold;">អ៊ី</span>. <span style="color:#ce9178;font-weight:bold;">លេនីន</span> <span style="color:#569cd6;font-weight:bold;">បាន</span> <span style="color:#4ec9b0;font-weight:bold;">ប្រសូត</span> <span style="color:#c586c0;font-weight:bold;">នៅ</span> <span style="color:#dcdcaa;font-weight:bold;">ថ្ងៃទី</span> <span style="color:#ce9178;font-weight:bold;">២២</span> <span style="color:#569cd6;font-weight:bold;">មេសា</span></b>
аптека	<div style="font-size:1.5em; margin-bottom: 0.5em;">аптека</div>, -и <i>ж</i> <b><span style="color:#569cd6;font-weight:bold;">ឱសថាល័យ</span>, <span style="color:#4ec9b0;font-weight:bold;">ហាង</span><span style="color:#c586c0;font-weight:bold;">ថ្នាំពេទ្យ</span></b>; дежурная аптека <b><span style="color:#dcdcaa;font-weight:bold;">ឱសថាល័យ</span> <span style="color:#ce9178;font-weight:bold;">យាម</span> <span style="color:#569cd6;font-weight:bold;">ប្រចាំ</span> <span style="color:#4ec9b0;font-weight:bold;">ថ្ងៃ</span></b>; сходить в аптеку за лекарством <b><span style="color:#c586c0;font-weight:bold;">ទៅ</span> <span style="color:#dcdcaa;font-weight:bold;">ទិញ</span> <span style="color:#ce9178;font-weight:bold;">ថ្នាំពេទ្យ</span> <span style="color:#569cd6;font-weight:bold;">នៅ</span> <span style="color:#4ec9b0;font-weight:bold;">ឱសថាល័យ</span></b>
арбуз	<div style="font-size:1.5em; margin-bottom: 0.5em;">арбуз</div>, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">ផ្លែ</span><span style="color:#4ec9b0;font-weight:bold;">ឪឡឹក</span>, <span style="color:#c586c0;font-weight:bold;">ឪឡឹក</span></b>; съесть кусок арбуза <b><span style="color:#dcdcaa;font-weight:bold;">ហូប</span><span style="color:#ce9178;font-weight:bold;">ផ្លែ</span><span style="color:#569cd6;font-weight:bold;">ឪឡឹក</span><span style="color:#4ec9b0;font-weight:bold;">មួយ</span><span style="color:#c586c0;font-weight:bold;">ចំណិត</span></b>
арена	<div style="font-size:1.5em; margin-bottom: 0.5em;">арена</div>, -ы <i>ж</i> <b><span style="color:#569cd6;font-weight:bold;">ឆាក</span></b>; цирковая арена <b><span style="color:#4ec9b0;font-weight:bold;">ឆាក</span> <span style="color:#c586c0;font-weight:bold;">នៃ</span> <span style="color:#dcdcaa;font-weight:bold;">រោង</span> <span style="color:#ce9178;font-weight:bold;">សៀក</span></b>; на международной арене <b><span style="color:#569cd6;font-weight:bold;">លើ</span> <span style="color:#4ec9b0;font-weight:bold;">ឆាក</span> <span style="color:#c586c0;font-weight:bold;">អន្តរជាតិ</span></b>
арестовать	<div style="font-size:1.5em; margin-bottom: 0.5em;">арестовать</div>, -ую, -уешь, -уют <i>сов.</i> <b><span style="color:#569cd6;font-weight:bold;">ចាប់</span> <span style="color:#4ec9b0;font-weight:bold;">ឃុំ</span> <span style="color:#c586c0;font-weight:bold;">ឃាំង</span></b>; арестовать преступника <b><span style="color:#dcdcaa;font-weight:bold;">ចាប់</span> <span style="color:#ce9178;font-weight:bold;">ឃុំ</span> <span style="color:#569cd6;font-weight:bold;">ឃាំង</span> <span style="color:#4ec9b0;font-weight:bold;">ជនឧក្រិដ្ឋ</span></b>
